column_name,required,detected,non_empty_row_count,row_count,schema_check_passed,blocker_reason
factor_attachment_row_id,TRUE,TRUE,1570,1570,TRUE,
factor_research_row_id,TRUE,TRUE,1570,1570,TRUE,
normalized_row_id,TRUE,TRUE,1570,1570,TRUE,
ticker,TRUE,TRUE,1570,1570,TRUE,
effective_observation_date,TRUE,TRUE,1570,1570,TRUE,
effective_price_date,TRUE,TRUE,1570,1570,TRUE,
effective_close,TRUE,TRUE,1570,1570,TRUE,
source_system,TRUE,TRUE,1570,1570,TRUE,
source_hash,TRUE,TRUE,1570,1570,TRUE,
run_id,TRUE,TRUE,1570,1570,TRUE,
sample_id,TRUE,TRUE,1570,1570,TRUE,
factor_category,TRUE,TRUE,1570,1570,TRUE,
factor_family,TRUE,TRUE,1570,1570,TRUE,
attachment_source_reference,TRUE,TRUE,1570,1570,TRUE,
attachment_input_type,TRUE,TRUE,1570,1570,TRUE,
attachment_value_type,TRUE,TRUE,1570,1570,TRUE,
attachment_value_present,TRUE,TRUE,1570,1570,TRUE,
attachment_status,TRUE,TRUE,1570,1570,TRUE,
factor_score_created,TRUE,TRUE,1570,1570,TRUE,
factor_evidence_created,TRUE,TRUE,1570,1570,TRUE,
research_only_flag,TRUE,TRUE,1570,1570,TRUE,
official_use_allowed,TRUE,TRUE,1570,1570,TRUE,
allowed_for_factor_evidence_next,TRUE,TRUE,1570,1570,TRUE,
allowed_for_backtest_now,TRUE,TRUE,1570,1570,TRUE,
allowed_for_dynamic_weighting_now,TRUE,TRUE,1570,1570,TRUE,
allowed_for_trading_now,TRUE,TRUE,1570,1570,TRUE,
allowed_for_official_recommendation_now,TRUE,TRUE,1570,1570,TRUE,
attachment_created_at_utc,TRUE,TRUE,1570,1570,TRUE,
attachment_source_step,TRUE,TRUE,1570,1570,TRUE,
