column_name,required,detected,non_empty_row_count,row_count,schema_status,blocker_reason
normalized_row_id,TRUE,TRUE,314,314,PASS,
input_artifact_id,TRUE,TRUE,314,314,PASS,
lineage_binding_id,TRUE,TRUE,314,314,PASS,
source_artifact_id,TRUE,TRUE,314,314,PASS,
source_system,TRUE,TRUE,314,314,PASS,
source_hash,TRUE,TRUE,314,314,PASS,
run_id,TRUE,TRUE,314,314,PASS,
sample_id,TRUE,TRUE,314,314,PASS,
ticker,TRUE,TRUE,314,314,PASS,
effective_observation_date,TRUE,TRUE,314,314,PASS,
effective_price_date,TRUE,TRUE,314,314,PASS,
effective_close,TRUE,TRUE,314,314,PASS,
active_runtime_flag,TRUE,TRUE,314,314,PASS,
historical_reference_flag,TRUE,TRUE,314,314,PASS,
research_only_flag,TRUE,TRUE,314,314,PASS,
official_use_allowed,TRUE,TRUE,314,314,PASS,
normalized_dataset_version,TRUE,TRUE,314,314,PASS,
normalized_created_at_utc,TRUE,TRUE,314,314,PASS,
normalized_source_step,TRUE,TRUE,314,314,PASS,
allowed_for_factor_research_next,TRUE,TRUE,314,314,PASS,
allowed_for_backtest_now,TRUE,TRUE,314,314,PASS,
allowed_for_dynamic_weighting_now,TRUE,TRUE,314,314,PASS,
allowed_for_trading_now,TRUE,TRUE,314,314,PASS,
allowed_for_official_recommendation_now,TRUE,TRUE,314,314,PASS,
